state,plate_title,plate_img,color_bg,text_color,visual_elements,category,rarity,layout_style,confidence_score,notes,source
AK,Air Force,Airforce.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.661,Improved auto-classification with 66.1% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Alaska Children's Trust,kid.png,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.613,Improved auto-classification with 61.3% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Alaska National Guard,guard plate.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.625,Improved auto-classification with 62.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Amateur Radio (Call Sign),blue-n-gold.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.559,Improved auto-classification with 55.9% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Army,army.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.609,Improved auto-classification with 60.9% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Blood Bank of Alaska,Blood-Bank-plate-final.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.687,Improved auto-classification with 68.7% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Breast Cancer Awareness,breast-cancer.png,multicolor,dark_on_light,text_focused,cause_charity,rare,text_focused,0.686,Improved auto-classification with 68.6% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Caribou,caribou.png,red,light_on_dark,text_focused,specialty_paid,uncommon,text_focused,0.475,Improved auto-classification with 47.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Celebrating the Arts,Artistic-plate.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.465,Improved auto-classification with 46.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Choose Life,choose life.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.605,Improved auto-classification with 60.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Coast Guard,Coast guard.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.622,Improved auto-classification with 62.2% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Custom Collector,collector.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.589,Improved auto-classification with 58.9% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Disabled Veteran w/ Parking Privileges,plate-disabled-veteran-parking.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.598,Improved auto-classification with 59.8% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Disabled Veteran w/o Parking Privileges,plate-disabled-veteran-parking-no.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.62,Improved auto-classification with 62.0% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Disabled w/ Parking Privileges,plate-disabled.png,multicolor,dark_on_light,text_focused,environmental,rare,text_focused,0.49,Improved auto-classification with 49.0% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Farm Vehicle,farm.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.563,Improved auto-classification with 56.3% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Firefighter/EMS,fire.png,blue,light_on_dark,text_focused,professional,uncommon,text_focused,0.537,Improved auto-classification with 53.7% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Former Prisoner of War,pow.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.618,Improved auto-classification with 61.8% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Freemason,Freemason.png,white,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.597,Improved auto-classification with 59.7% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Gold Star Family,GoldStar.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.572,Improved auto-classification with 57.2% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Grizzly Bear,grizzly-bear.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.535,Improved auto-classification with 53.5% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Historic Vehicle,historic_vehicle.png,multicolor,dark_on_light,text_focused,historical,rare,text_focused,0.601,Improved auto-classification with 60.1% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Iditarod Finisher,iditarod.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.533,Improved auto-classification with 53.3% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,In God We Trust,AK-In-God-We-Trust.png,blue,light_on_dark,text_focused,cause_charity,rare,text_focused,0.651,Improved auto-classification with 65.1% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,International Association of Fire Fighters (IAFF),IAFF.png,blue,light_on_dark,text_focused,professional,uncommon,text_focused,0.543,Improved auto-classification with 54.3% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Knights of Columbus,knightsofcolumbus.png,white,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.699,Improved auto-classification with 69.9% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Laos Vet,LaosVet.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.671,Improved auto-classification with 67.1% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Lions Club,Lions.png,multicolor,dark_on_light,text_focused,sports,uncommon,text_focused,0.729,Improved auto-classification with 72.9% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Marines,marine.png,multicolor,dark_on_light,text_focused,military,uncommon,text_focused,0.603,Improved auto-classification with 60.3% confidence,https://doa.alaska.gov/dmv/plates/index.htm
AK,Mountain,mountain.png,multicolor,dark_on_light,text_focused,specialty_paid,uncommon,text_focused,0.654,Improved auto-classification with 65.4% confidence,https://doa.alaska.gov/dmv/plates/index.htm
