state,plate_title,plate_img
AK,"Air Force",Airforce.png
AK,"Alaska Children's Trust",kid.png
AK,"Alaska National Guard",guard plate.png
AK,"Amateur Radio (Call Sign)",blue-n-gold.png
AK,"Army",army.png
AK,"Blood Bank of Alaska",Blood-Bank-plate-final.png
AK,"Breast Cancer Awareness",breast-cancer.png
AK,"Caribou",caribou.png
AK,"Celebrating the Arts",Artistic-plate.png
AK,"Choose Life",choose life.png
AK,"Coast Guard",Coast guard.png
AK,"Custom Collector",collector.png
AK,"Disabled Veteran w/ Parking Privileges",plate-disabled-veteran-parking.png
AK,"Disabled Veteran w/o Parking Privileges",plate-disabled-veteran-parking-no.png
AK,"Disabled w/ Parking Privileges",plate-disabled.png
AK,"Farm Vehicle",farm.png
AK,"Firefighter/EMS",fire.png
AK,"Former Prisoner of War",pow.png
AK,"Freemason",Freemason.png
AK,"Gold Star Family",GoldStar.png
AK,"Grizzly Bear",grizzly-bear.png
AK,"Historic Vehicle",historic_vehicle.png
AK,"Iditarod Finisher",iditarod.png
AK,"In God We Trust",AK-In-God-We-Trust.png
AK,"International Association of Fire Fighters (IAFF)",IAFF.png
AK,"Knights of Columbus",knightsofcolumbus.png
AK,"Laos Vet",LaosVet.png
AK,"Lions Club",Lions.png
AK,"Marines",marine.png
AK,"Mountain",mountain.png
AK,"National Rifle Association",NRA-License-Plate-lg.png
AK,"Navy",navy.png
AK,"Pearl Harbor Survivor",Pearl Harbor Survivor.png
AK,"Pioneers of Alaska",Pioneers-of-Alaska-plate.png
AK,"Pro-Family, Pro-Choice",Pro-Family-Pro-Choice-Plate.png
AK,"Purple Heart",Purple_Heart.png
AK,"PWS",PWS.png
AK,"Standard Gold",blue-n-gold.png
AK,"Support Our Troops",support.png
AK,"Supporting the Arts",art.jpg
AK,"UAA",UAA.png
AK,"UAF",UAF.png
AK,"UAS",UAS.png
AK,"Veterans Commemorative",Comm_Vet.png
AL,"A Pink Breast Cancer Tag",APinkBreastCancerTagFightBreastCancerJoytoLife_tag_page.jpg
AL,"Active Reserve",LicensePlate_Military_ActiveReserve.jpg
AL,"Ag Tag (Farming Feeds)",190802_FarmingFeeds_tag_page.jpg
AL,"Alabama A&M University",ALAAM2019_CollPlate_page.jpg
AL,"Alabama Audubon",AL-Audubon-2022-passenger.jpg
AL,"Alabama Bicentennial",Alabama-Bicentennial-2022-1-scaled-1.jpg
AL,"Alabama Cattlemen",AL-Cattlemen-2022-approved-passenger.jpg
AL,"Alabama Forests",AlabamaForestsForever_tag_page.jpg
AL,"Alabama Gang",The-Alabama-Gang-2023.jpg
AL,"Alabama Gold Star Family",Gold-Star-Family-2021-front.jpg
AL,"Alabama Home Builders",190802_AlabamaHomeBuilders_tag_page.jpg
AL,"Alabama Nurses Foundation",AL-Nurses-Foundation-2022.jpg
